"YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","PTDY","TIDE","Date"
2021,12,20,15,55,60,7.7,10.3,NA,NA,NA,NA,NA,17,NA,14,2.2,NA,NA,2021-12-20 15:55:00
2021,12,20,15,35,50,6.7,NA,NA,NA,NA,NA,NA,17,NA,14,2.6,NA,NA,2021-12-20 15:35:00
2021,12,20,15,15,50,6.7,9.3,NA,NA,NA,NA,NA,17,NA,14,2.2,NA,NA,2021-12-20 15:15:00
2021,12,20,14,55,50,6.2,NA,NA,NA,NA,NA,NA,17,NA,14,1.7,NA,NA,2021-12-20 14:55:00
2021,12,20,14,35,50,5.7,8.2,NA,NA,NA,NA,NA,17,NA,14,5.2,NA,NA,2021-12-20 14:35:00
2021,12,20,14,15,40,4.6,8.8,NA,NA,NA,NA,NA,17,NA,14,2.6,NA,NA,2021-12-20 14:15:00
2021,12,20,13,55,40,6.7,9.8,NA,NA,NA,NA,NA,17,NA,13,3.5,NA,NA,2021-12-20 13:55:00
2021,12,20,13,35,30,6.2,9.3,NA,NA,NA,NA,NA,17,NA,13,7.8,NA,NA,2021-12-20 13:35:00
2021,12,20,13,15,30,6.2,9.8,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 13:15:00
2021,12,20,12,55,50,6.7,NA,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 12:55:00
2021,12,20,12,35,40,6.2,NA,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 12:35:00
2021,12,20,12,15,50,7.7,10.3,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 12:15:00
2021,12,20,11,55,40,6.2,9.3,NA,NA,NA,NA,NA,16,NA,14,8.7,NA,NA,2021-12-20 11:55:00
2021,12,20,11,35,30,5.7,9.8,NA,NA,NA,NA,NA,16,NA,13,7,NA,NA,2021-12-20 11:35:00
2021,12,20,11,15,60,7.2,NA,NA,NA,NA,NA,NA,16,NA,13,3.5,NA,NA,2021-12-20 11:15:00
2021,12,20,10,55,40,3.1,7.2,NA,NA,NA,NA,NA,16,NA,13,7,NA,NA,2021-12-20 10:55:00
2021,12,20,10,35,50,3.1,6.7,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 10:35:00
2021,12,20,10,15,20,5.1,8.2,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 10:15:00
2021,12,20,9,55,40,4.6,8.8,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 09:55:00
2021,12,20,9,35,30,8.2,NA,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 09:35:00
2021,12,20,9,15,20,7.2,10.3,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 09:15:00
2021,12,20,8,55,30,6.7,9.8,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 08:55:00
2021,12,20,8,35,30,5.7,9.8,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 08:35:00
2021,12,20,8,15,20,9.3,NA,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 08:15:00
2021,12,20,7,55,30,7.2,NA,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 07:55:00
2021,12,20,7,35,30,5.1,8.2,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 07:35:00
2021,12,20,7,15,40,5.7,9.8,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 07:15:00
2021,12,20,6,55,30,7.2,NA,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 06:55:00
2021,12,20,6,35,30,5.1,7.7,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 06:35:00
2021,12,20,6,15,30,7.2,11.3,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 06:15:00
2021,12,20,5,55,30,7.2,11.3,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 05:55:00
2021,12,20,5,35,30,6.2,10.3,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 05:35:00
2021,12,20,5,15,20,7.2,NA,NA,NA,NA,NA,NA,17,NA,13,8.7,NA,NA,2021-12-20 05:15:00
2021,12,20,4,55,20,8.8,NA,NA,NA,NA,NA,NA,17,NA,13,8.7,NA,NA,2021-12-20 04:55:00
2021,12,20,4,35,NA,3.1,9.8,NA,NA,NA,NA,NA,17,NA,13,8.7,NA,NA,2021-12-20 04:35:00
2021,12,20,4,15,20,7.7,NA,NA,NA,NA,NA,NA,17,NA,13,8.7,NA,NA,2021-12-20 04:15:00
2021,12,20,3,55,20,5.7,11.3,NA,NA,NA,NA,NA,16,NA,13,8.7,NA,NA,2021-12-20 03:55:00
2021,12,20,3,35,30,8.8,11.3,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 03:35:00
2021,12,20,3,15,NA,2.1,10.3,NA,NA,NA,NA,NA,17,NA,13,8.7,NA,NA,2021-12-20 03:15:00
2021,12,20,2,55,350,3.6,10.3,NA,NA,NA,NA,NA,17,NA,13,8.7,NA,NA,2021-12-20 02:55:00
2021,12,20,2,35,NA,3.1,10.3,NA,NA,NA,NA,NA,17,NA,14,8.7,NA,NA,2021-12-20 02:35:00
