,YY,MM,DD,hh,mm,WDIR,WSPD,ATMP,DEWP,VIS,Date
146,2021,12,19,19,35,10.0,2.1,20.0,17.0,8.7,2021-12-19 19:35:00
147,2021,12,19,19,15,10.0,2.6,21.0,17.0,8.7,2021-12-19 19:15:00
148,2021,12,19,18,55,10.0,2.6,21.0,17.0,8.7,2021-12-19 18:55:00
149,2021,12,19,18,35,10.0,2.1,21.0,17.0,8.7,2021-12-19 18:35:00
150,2021,12,19,18,15,10.0,2.6,21.0,17.0,8.7,2021-12-19 18:15:00
151,2021,12,19,17,55,10.0,2.6,21.0,16.0,8.7,2021-12-19 17:55:00
152,2021,12,19,17,35,350.0,5.1,21.0,17.0,8.7,2021-12-19 17:35:00
153,2021,12,19,17,15,350.0,2.6,21.0,17.0,8.7,2021-12-19 17:15:00
154,2021,12,19,16,55,350.0,2.1,21.0,17.0,8.7,2021-12-19 16:55:00
155,2021,12,19,16,35,350.0,2.1,21.0,18.0,8.7,2021-12-19 16:35:00
156,2021,12,19,16,15,350.0,3.1,21.0,18.0,8.7,2021-12-19 16:15:00
157,2021,12,19,15,55,350.0,2.6,22.0,18.0,8.7,2021-12-19 15:55:00
158,2021,12,19,15,35,350.0,2.6,22.0,18.0,8.7,2021-12-19 15:35:00
159,2021,12,19,15,15,350.0,0.0,22.0,18.0,8.7,2021-12-19 15:15:00
160,2021,12,19,14,55,350.0,2.1,22.0,19.0,8.7,2021-12-19 14:55:00
161,2021,12,19,14,35,350.0,0.0,22.0,19.0,8.7,2021-12-19 14:35:00
162,2021,12,19,14,15,350.0,2.1,22.0,19.0,8.7,2021-12-19 14:15:00
163,2021,12,19,13,55,350.0,2.6,23.0,20.0,8.7,2021-12-19 13:55:00
164,2021,12,19,13,35,350.0,2.1,23.0,20.0,8.7,2021-12-19 13:35:00
165,2021,12,19,13,15,350.0,0.0,22.0,20.0,8.7,2021-12-19 13:15:00
166,2021,12,19,12,55,350.0,0.0,22.0,20.0,8.7,2021-12-19 12:55:00
167,2021,12,19,12,35,350.0,0.0,23.0,20.0,8.7,2021-12-19 12:35:00
168,2021,12,19,12,15,80.0,2.1,22.0,20.0,8.7,2021-12-19 12:15:00
169,2021,12,19,11,55,130.0,3.6,22.0,20.0,8.7,2021-12-19 11:55:00
170,2021,12,19,11,35,130.0,4.6,22.0,20.0,8.7,2021-12-19 11:35:00
171,2021,12,19,11,15,120.0,4.1,22.0,19.0,8.7,2021-12-19 11:15:00
172,2021,12,19,10,55,60.0,5.1,21.0,19.0,8.7,2021-12-19 10:55:00
173,2021,12,19,10,35,50.0,3.1,21.0,19.0,8.7,2021-12-19 10:35:00
174,2021,12,19,10,15,60.0,6.2,21.0,19.0,8.7,2021-12-19 10:15:00
